compound,river,date_sampled,year,result,result_unit,group
Rimsulfuron,Mill River,08/25/2011 12:00:00 AM,2011,< 0.05,ng/ml,Herbicides
Methamidophos,West River,07/20/2017 12:00:00 AM,2017,< 5.0,ng/ml,Insecticides
Dichlobenil,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Metalaxyl,Huntley River,08/13/2015 12:00:00 AM,2015,< 0.03,ng/ml,Fungicides
Thiamethoxam,Mill River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Azoxystrobin,West River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Azoxystrobin,Montague River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Chlorothalonil,Winter River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Chlorantraniliprole,Montague River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Dimethoate,Huntley River,09/16/2015 12:00:00 AM,2015,< 0.04,ng/ml,Insecticides
Azoxystrobin,Morell River,09/18/2013 12:00:00 AM,2013,< 0.02,ng/ml,Fungicides
Chlorothalonil,Dunk River,09/03/2013 12:00:00 AM,2013,< 0.02,ng/ml,Fungicides
Imidacloprid,Winter River,06/15/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Atrazine,Dunk River,09/18/2013 12:00:00 AM,2013,< 0.03,ng/ml,Herbicides
Diquat,Morell River,09/18/2013 12:00:00 AM,2013,< 10,ng/ml,Herbicides
Azoxystrobin,Huntley River,08/21/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Propyzamide,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Chlorantraniliprole,Huntley River,10/05/2017 12:00:00 AM,2017,0.08,ng/ml,Insecticides
Phorate,West River,08/12/2010 12:00:00 AM,2010,< 0.01,ng/ml,Insecticides
Thiabendazole,Montague River,07/20/2011 12:00:00 AM,2011,< 0.05,ng/ml,Fungicides
Chlorpyrifos,Montague River,08/18/2014 12:00:00 AM,2014,< 0.01,ng/ml,Insecticides
Chlorantraniliprole,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Imidacloprid,Mill River,08/21/2014 12:00:00 AM,2014,< 0.02,ng/ml,Insecticides
Thiophanate-Methyl,Huntley River,09/19/2012 12:00:00 AM,2012,< 0.1,ng/ml,Fungicides
Chlorpyrifos,Montague River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Fludioxonil,Montague River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Fungicides
Clothianidin,Wilmot River,10/05/2017 12:00:00 AM,2017,0.05,ng/ml,Insecticides
Dimethoate,Winter River,06/27/2018 12:00:00 AM,2018,< 0.04,ng/ml,Insecticides
Clothianidin,Mill River,05/28/2018 12:00:00 AM,2018,0.0769,ng/ml,Insecticides
Linuron,Clyde River,09/28/2017 12:00:00 AM,2017,0.12,ng/ml,Herbicides
Metalaxyl,Mill River,08/10/2011 12:00:00 AM,2011,< 0.03,ng/ml,Fungicides
Hexazinone,Winter River,07/25/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Chlorpyrifos,Winter River,08/21/2014 12:00:00 AM,2014,< 0.01,ng/ml,Insecticides
Metiram,Wilmot River,09/17/2009 12:00:00 AM,2009,< 1000,ng/ml,Fungicides
Metiram,Wilmot River,09/17/2009 12:00:00 AM,2009,< 1000,ng/ml,Fungicides
Mancozeb,Morell River,09/03/2013 12:00:00 AM,2013,< 100,ng/ml,Fungicides
Mancozeb,Morell River,09/03/2013 12:00:00 AM,2013,< 100,ng/ml,Fungicides
Chlorantraniliprole,Mill River,08/25/2011 12:00:00 AM,2011,< 0.1,ng/ml,Insecticides
Thiamethoxam,Montague River,06/27/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Metribuzin,Dunk River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
